"id","tank_id","obj_new","activity_type_id","actual_end_date","planned_start_date","activity_status_id"
12380,1108,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13379,,2010-09-11 00:00:00.000,3
13036,1128,"{""sap_updated_at"": ""03.05.2024 06:44:24""}",13367,2019-06-26 00:00:00.000,2019-06-26 00:00:00.000,3
10712,1079,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13429,,2016-09-04 00:00:00.000,3
12608,1116,"{""sap_updated_at"": ""03.05.2024 06:42:44""}",13424,2014-10-31 00:00:00.000,2014-10-31 00:00:00.000,3
11872,1097,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13429,,2022-08-15 00:00:00.000,3
13044,1128,"{""sap_updated_at"": ""07.09.2022 00:00:00""}",13413,2022-08-26 00:00:00.000,2022-08-29 00:00:00.000,3
12615,1116,"{""sap_updated_at"": ""03.05.2024 06:41:28""}",13381,2021-04-15 00:00:00.000,2021-04-15 00:00:00.000,3
14501,1161,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": 8.90230144766668, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13429,,2017-11-08 00:00:00.000,3
13051,1128,"{""sap_updated_at"": ""25.04.2023 00:00:00""}",13413,2023-04-12 00:00:00.000,2023-04-26 00:00:00.000,3
12622,1116,"{""sap_updated_at"": ""04.08.2022 00:00:00""}",13367,2022-07-05 00:00:00.000,2022-07-05 08:00:00.000,3
13248,1130,"{""sap_updated_at"": ""22.12.2023 00:00:00""}",13392,2023-12-22 00:00:00.000,2023-12-22 08:00:00.000,3
13064,1128,"{""sap_updated_at"": ""31.05.2024 00:00:00""}",13413,2024-05-24 00:00:00.000,2024-05-20 00:00:00.000,3
13065,1128,"{""sap_updated_at"": ""28.06.2024 00:00:00""}",13413,2024-06-24 00:00:00.000,2024-06-19 00:00:00.000,3
13067,1128,"{""sap_updated_at"": ""30.08.2024 00:00:00""}",13413,2024-08-28 00:00:00.000,2024-08-18 00:00:00.000,3
13068,1128,"{""sap_updated_at"": ""30.09.2024 00:00:00""}",13413,2024-09-27 00:00:00.000,2024-09-17 00:00:00.000,3
13077,1128,"{""sap_updated_at"": ""27.08.2025 09:17:07""}",13413,2025-08-22 00:00:00.000,2025-08-13 00:00:00.000,3
12648,1116,"{""sap_updated_at"": ""28.06.2024 00:00:00""}",13400,2024-06-24 00:00:00.000,2024-06-01 00:00:00.000,3
13079,1128,"{""sap_updated_at"": ""25.02.2022 00:00:00""}",13413,,2022-01-31 00:00:00.000,3
2880,410,"{""by_RBI"": false, ""status"": null, ""act_cost"": 45717.39428, ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""first"", ""description"": ""монтаж"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13429,,2003-04-15 00:00:00.000,3
2881,588,"{""by_RBI"": false, ""status"": null, ""act_cost"": 221211.57423, ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""first"", ""description"": ""монтаж"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13429,,2001-11-25 00:00:00.000,3
2793,525,"{""by_RBI"": false, ""status"": null, ""act_cost"": 221211.57423, ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""first"", ""description"": ""монтаж"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13429,,2007-03-24 00:00:00.000,3
13778,1145,"{""sap_updated_at"": ""03.05.2024 06:45:29""}",13381,2021-09-09 00:00:00.000,2021-09-09 00:00:00.000,3
2758,706,"{""by_RBI"": false, ""status"": null, ""act_cost"": 221211.57423, ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""first"", ""description"": ""монтаж"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13429,,1996-06-15 00:00:00.000,3
2762,743,"{""by_RBI"": false, ""status"": null, ""act_cost"": 127506.93423999999, ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""first"", ""description"": ""монтаж"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13429,,2006-07-25 00:00:00.000,3
2766,136,"{""by_RBI"": false, ""status"": null, ""act_cost"": 123327.05387, ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""first"", ""description"": ""монтаж"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13429,,2006-05-25 00:00:00.000,3
